"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0X180","2019-07-04 00:00:00","62.000","104.000","2.200","25.300","0.950","1003.100","-99.000","87.000","-99.000","-99.000","-99.000","29.900","","24.100",""
"C0F930","2019-07-04 00:00:00","100.000","144.000","0.400","28.700","0.820","998.500","-99.000","4.000","-99.000","-99.000","-99.000","31.700","","25.700",""
"C0I010","2019-07-04 00:00:00","1562.000","71.000","0.600","18.100","0.930","849.800","-99.000","3.000","-99.000","-99.000","-99.000","23.200","","17.900",""
"C0R190","2019-07-04 00:00:00","32.000","0.000","0.000","25.200","0.990","1006.700","-99.000","99.000","-99.000","-99.000","-99.000","32.500","","24.100",""
"C0E420","2019-07-04 00:00:00","19.000","198.000","0.900","29.900","0.590","1004.900","-99.000","0.000","-99.000","-99.000","-99.000","32.200","","28.000",""
"C0W160","2019-07-04 00:00:00","49.000","206.000","7.200","26.500","0.950","1000.700","-99.000","6.500","-99.000","-99.000","-99.000","27.100","","25.600",""
"C0I460","2019-07-04 00:00:00","110.000","206.000","1.800","26.500","0.920","998.100","-99.000","3.000","-99.000","-99.000","-99.000","31.700","","25.900",""
"C0F9A0","2019-07-04 00:00:00","425.000","206.000","0.300","24.600","0.880","962.600","-99.000","0.500","-99.000","-99.000","-99.000","29.900","","23.800",""
"C0O950","2019-07-04 00:00:00","4.000","152.000","0.600","25.700","0.900","1009.100","-99.000","174.000","-99.000","-99.000","-99.000","28.100","","24.600",""
"C0M760","2019-07-04 00:00:00","40.000","159.000","1.000","26.600","0.820","1005.700","-99.000","38.500","-99.000","-99.000","-99.000","29.100","","23.700",""
"C0AH70","2019-07-04 00:00:00","34.000","40.000","0.300","28.700","0.720","1006.000","-99.000","20.000","-99.000","-99.000","-99.000","32.900","","25.700",""
"C0V250","2019-07-04 00:00:00","298.000","15.000","1.200","22.600","0.990","978.600","-99.000","118.000","-99.000","-99.000","-99.000","30.000","","22.500",""
"C0U980","2019-07-04 00:00:00","573.000","316.000","1.800","22.900","1.000","947.400","-99.000","22.000","-99.000","-99.000","-99.000","28.300","","22.800",""
"C0S740","2019-07-04 00:00:00","289.000","0.000","0.200","24.600","0.930","978.200","-99.000","16.000","-99.000","-99.000","-99.000","30.400","","23.200",""
"C0A940","2019-07-04 00:00:00","49.000","221.000","0.400","25.800","0.980","1004.200","-99.000","31.000","-99.000","-99.000","-99.000","30.200","","24.100",""
"C0A920","2019-07-04 00:00:00","196.000","251.000","1.400","26.300","0.990","986.900","-99.000","9.000","-99.000","-99.000","-99.000","29.200","","24.400",""
"C0T870","2019-07-04 00:00:00","135.000","0.000","0.100","26.000","0.970","994.300","-99.000","0.000","-99.000","-99.000","-99.000","30.600","","24.800",""
"C0O930","2019-07-04 00:00:00","69.000","58.000","1.200","24.000","1.000","1003.300","-99.000","99.000","-99.000","-99.000","-99.000","30.400","","24.000",""
"C0C460","2019-07-04 00:00:00","482.000","0.000","0.000","23.700","0.980","957.100","-99.000","1.000","-99.000","-99.000","-99.000","28.300","","22.500",""
"C0E520","2019-07-04 00:00:00","320.000","189.000","0.300","24.700","0.890","974.900","-99.000","1.000","-99.000","-99.000","-99.000","31.000","","23.600",""
"C0T9D0","2019-07-04 00:00:00","7.000","289.000","0.300","26.900","0.990","1009.200","-99.000","0.000","-99.000","-99.000","-99.000","32.800","","25.800",""
"C0I390","2019-07-04 00:00:00","1184.000","71.000","1.000","20.700","0.900","886.700","-99.000","1.000","-99.000","-99.000","-99.000","25.900","","19.600",""
"C0B020","2019-07-04 00:00:00","86.000","8.000","1.300","27.200","0.990","998.000","-99.000","30.000","-99.000","-99.000","-99.000","32.300","","24.100",""
"CM0170","2019-07-04 00:00:00","106.000","89.000","2.500","24.300","0.960","999.100","-99.000","11.500","-99.000","-99.000","-99.000","30.100","","24.200",""
"C0F860","2019-07-04 00:00:00","2215.000","229.000","0.800","15.300","1.000","783.300","-99.000","2.500","-99.000","-99.000","-99.000","19.000","","14.800",""
"C0U890","2019-07-04 00:00:00","116.000","0.000","0.000","26.900","0.990","997.800","-99.000","5.000","-99.000","-99.000","-99.000","30.800","","25.600",""
"C0G800","2019-07-04 00:00:00","15.000","168.000","1.400","25.900","0.890","1008.100","-99.000","22.000","-99.000","-99.000","-99.000","28.300","","24.600",""
"C0F850","2019-07-04 00:00:00","379.000","175.000","1.300","25.300","0.790","967.500","-99.000","1.000","-99.000","-99.000","-99.000","30.400","","23.900",""
"C0AH50","2019-07-04 00:00:00","275.000","146.000","0.500","26.800","0.990","978.700","-99.000","0.500","-99.000","-99.000","-99.000","30.400","","24.400",""
"C0Z160","2019-07-04 00:00:00","124.000","0.000","0.000","27.600","0.860","997.000","-99.000","0.000","-99.000","-99.000","-99.000","31.700","","18.900",""
"C0R540","2019-07-04 00:00:00","17.000","103.000","1.000","27.200","0.860","1008.800","-99.000","75.000","-99.000","-99.000","-99.000","32.300","","25.100",""
"C0K480","2019-07-04 00:00:00","56.000","128.000","0.900","25.800","0.900","1003.500","-99.000","16.000","-99.000","-99.000","-99.000","29.100","","24.500",""
"C0H890","2019-07-04 00:00:00","440.000","229.000","0.700","24.500","0.950","961.500","-99.000","0.500","-99.000","-99.000","-99.000","29.800","","23.700",""
"C0S770","2019-07-04 00:00:00","375.000","296.000","0.800","25.800","0.780","968.100","-99.000","21.500","-99.000","-99.000","-99.000","30.000","","22.900",""
"C0X230","2019-07-04 00:00:00","29.000","161.000","2.100","25.500","0.880","1008.400","-99.000","103.000","-99.000","-99.000","-99.000","27.500","","23.500",""
"C0B010","2019-07-04 00:00:00","38.000","204.000","0.500","26.800","0.950","1002.600","-99.000","19.000","-99.000","-99.000","-99.000","31.000","","25.500",""
"C0R490","2019-07-04 00:00:00","49.000","355.000","0.700","25.700","0.920","1005.100","-99.000","101.500","-99.000","-99.000","-99.000","32.200","","24.100",""
"C0V440","2019-07-04 00:00:00","27.000","129.000","0.500","24.700","0.900","1007.200","-99.000","73.500","-99.000","-99.000","-99.000","31.700","","24.300",""
"C0Z280","2019-07-04 00:00:00","224.000","186.000","0.500","25.700","0.870","985.500","-99.000","2.500","-99.000","-99.000","-99.000","32.000","","24.300",""
"C0Z070","2019-07-04 00:00:00","247.000","0.000","0.000","25.600","0.950","982.200","-99.000","0.500","-99.000","-99.000","-99.000","31.000","","24.000",""
"C0K470","2019-07-04 00:00:00","97.000","0.000","0.200","25.500","0.950","999.100","-99.000","13.000","-99.000","-99.000","-99.000","30.800","","24.200",""
"C0V650","2019-07-04 00:00:00","28.000","127.000","3.500","25.600","0.930","1009.300","-99.000","76.500","-99.000","-99.000","-99.000","30.800","","24.300",""
"C0H9C0","2019-07-04 00:00:00","3402.000","326.000","1.300","9.500","1.000","679.200","-99.000","9.000","-99.000","-99.000","-99.000","11.200","","8.000",""
"C0U780","2019-07-04 00:00:00","15.000","176.000","1.300","27.900","0.860","1008.200","-99.000","0.500","-99.000","-99.000","-99.000","32.500","","26.500",""
"C0U760","2019-07-04 00:00:00","22.000","0.000","0.000","26.600","0.990","1008.200","-99.000","0.000","-99.000","-99.000","-99.000","32.500","","25.700",""
"C0X290","2019-07-04 00:00:00","10.000","167.000","2.600","25.900","0.860","1009.200","-99.000","118.000","-99.000","-99.000","-99.000","26.500","","24.100",""
"C0R420","2019-07-04 00:00:00","504.000","66.000","1.300","23.100","-99.000","950.500","-99.000","23.500","-99.000","-99.000","-99.000","26.200","","21.700",""
"C0K330","2019-07-04 00:00:00","38.000","133.000","0.900","25.200","0.880","1005.500","-99.000","23.500","-99.000","-99.000","-99.000","28.400","","24.300",""
"C0M660","2019-07-04 00:00:00","40.000","159.000","1.200","26.200","0.840","1006.100","-99.000","30.000","-99.000","-99.000","-99.000","28.500","","24.200",""
"C0D580","2019-07-04 00:00:00","120.000","0.000","0.000","24.800","0.960","995.100","-99.000","0.500","-99.000","-99.000","-99.000","30.600","","24.200",""
"C0R640","2019-07-04 00:00:00","21.000","82.000","1.900","26.800","0.880","1009.200","-99.000","47.500","-99.000","-99.000","-99.000","31.300","","24.900",""
"C0E810","2019-07-04 00:00:00","53.000","185.000","2.000","27.800","0.710","1003.800","-99.000","1.000","-99.000","-99.000","-99.000","31.000","","25.100",""
"C0G830","2019-07-04 00:00:00","27.000","142.000","1.800","26.000","1.000","1005.700","-99.000","16.000","-99.000","-99.000","-99.000","28.500","","24.800",""
"C0A550","2019-07-04 00:00:00","422.000","0.000","0.000","23.800","1.000","963.700","-99.000","29.000","-99.000","-99.000","-99.000","28.900","","23.700",""
"C0G750","2019-07-04 00:00:00","31.000","130.000","0.900","25.600","0.860","1007.500","-99.000","33.500","-99.000","-99.000","-99.000","27.900","","24.400",""
"C0Z270","2019-07-04 00:00:00","343.000","164.000","0.600","25.700","0.920","972.200","-99.000","0.500","-99.000","-99.000","-99.000","29.100","","23.700",""
"C0UA30","2019-07-04 00:00:00","1397.000","145.000","0.800","19.800","0.990","861.300","-99.000","3.000","-99.000","-99.000","-99.000","21.700","","19.600",""
"C0I080","2019-07-04 00:00:00","536.000","0.000","0.000","22.400","0.970","954.700","-99.000","4.000","-99.000","-99.000","-99.000","28.800","","22.400",""
"C0UA00","2019-07-04 00:00:00","392.000","0.000","0.100","24.800","0.990","967.400","-99.000","3.000","-99.000","-99.000","-99.000","30.800","","24.000",""
"C0AD40","2019-07-04 00:00:00","32.000","175.000","0.800","27.000","0.900","1005.700","-99.000","35.000","-99.000","-99.000","-99.000","32.500","","25.200",""
"C0S660","2019-07-04 00:00:00","794.000","236.000","1.300","21.600","0.880","924.800","-99.000","7.500","-99.000","-99.000","-99.000","27.400","","21.100",""
"C0M640","2019-07-04 00:00:00","155.000","213.000","1.000","28.500","0.620","992.700","-99.000","32.500","-99.000","-99.000","-99.000","30.800","","24.000",""
"C0UA10","2019-07-04 00:00:00","1711.000","339.000","0.900","17.500","1.000","832.900","-99.000","0.500","-99.000","-99.000","-99.000","21.100","","17.400",""
"C0V770","2019-07-04 00:00:00","26.000","71.000","1.400","26.200","0.990","1007.700","-99.000","106.000","-99.000","-99.000","-99.000","31.600","","24.700",""
"C0E730","2019-07-04 00:00:00","26.000","207.000","0.800","30.000","0.580","1004.700","-99.000","0.000","-99.000","-99.000","-99.000","33.300","","28.300",""
"C0V810","2019-07-04 00:00:00","32.000","131.000","1.100","26.300","0.880","1006.000","-99.000","76.500","-99.000","-99.000","-99.000","30.900","","24.500",""
"C0A9C0","2019-07-04 00:00:00","35.000","93.000","0.400","27.200","0.860","1005.800","-99.000","30.000","-99.000","-99.000","-99.000","33.000","","25.500",""
"C0X310","2019-07-04 00:00:00","9.000","135.000","2.700","26.000","0.860","1010.100","-99.000","113.500","-99.000","-99.000","-99.000","28.500","","23.900",""
"C0K280","2019-07-04 00:00:00","23.000","198.000","0.900","25.000","0.930","1009.700","-99.000","81.500","-99.000","-99.000","-99.000","26.900","","23.600",""
"C0M650","2019-07-04 00:00:00","20.000","153.000","2.300","26.800","0.780","1008.200","-99.000","101.500","-99.000","-99.000","-99.000","27.900","","24.000",""
"C0S910","2019-07-04 00:00:00","212.000","283.000","3.600","27.000","0.960","987.600","-99.000","10.000","-99.000","-99.000","-99.000","32.000","","24.500",""
"C0D570","2019-07-04 00:00:00","15.000","206.000","1.100","29.600","0.640","1007.300","-99.000","0.000","-99.000","-99.000","-99.000","32.200","","27.700",""
"C0M710","2019-07-04 00:00:00","15.000","167.000","2.200","26.700","0.830","1008.700","-99.000","100.500","-99.000","-99.000","-99.000","27.300","","24.400",""
"C0V490","2019-07-04 00:00:00","20.000","0.000","0.200","26.600","0.990","1009.000","-99.000","87.000","-99.000","-99.000","-99.000","31.700","","25.300",""
"C0E870","2019-07-04 00:00:00","34.000","217.000","4.100","30.100","0.570","1006.500","-99.000","0.000","-99.000","-99.000","-99.000","32.000","","26.400",""
"C0M800","2019-07-04 00:00:00","440.000","74.000","0.500","22.300","1.000","963.100","-99.000","73.500","-99.000","-99.000","-99.000","29.200","","22.300",""
"C0A570","2019-07-04 00:00:00","360.000","97.000","1.100","24.100","1.000","970.400","-99.000","3.000","-99.000","-99.000","-99.000","29.400","","24.100",""
"C0S790","2019-07-04 00:00:00","236.000","248.000","0.700","27.800","0.700","984.400","-99.000","16.000","-99.000","-99.000","-99.000","31.400","","23.300",""
"C0D590","2019-07-04 00:00:00","143.000","224.000","3.200","28.300","0.680","993.600","-99.000","0.000","8.600","237.000","","31.300","","25.600",""
